yaw,row,coordinates,x轴夹角,y轴夹角,z轴夹角
1050,2500,"[-73.6, 40.77, -3.92]",29.09571116214227,61.050553051129015,87.3325019305189
1050,2550,"[-76.34, 44.79, -24.21]",33.70097194364835,60.78314905835689,74.70209094052552
1050,2600,"[-76.05, 44.69, -23.91]",33.68180551710503,60.72559774652675,74.83376464678943
1050,2650,"[-82.61, 50.86, -50.37]",40.90880788535747,62.271022944075575,62.56080386313068
1050,2700,"[-83.5, 51.45, -50.86]",40.90600868150867,62.24510308380013,62.59031305793266
1050,2750,"[-89.38, 56.06, -82.22]",48.07066018283606,65.22158685071781,52.07098256537395
1050,2800,"[-84.28, 53.7, -122.01]",57.697452007155015,70.09309435038884,39.31967697579019
1050,2850,"[-84.67, 54.39, -122.4]",57.701103075782946,69.92530998524155,39.42623610975474
1050,2900,"[-44.3, 33.42, -161.7]",74.98157952267859,78.7267779609915,18.94119956331002
1050,2950,"[-44.59, 33.52, -161.01]",74.83030220722804,78.65513825887422,19.10931688476203
1050,3000,"[-12.35, 17.74, -158.37]",85.56859170045979,83.62777610463105,7.772126330722509
1050,3050,"[-12.05, 17.64, -159.84]",85.71466691836012,83.71997948327422,7.612557877531134
1050,3100,"[-1.47, 12.54, -154.06]",89.45511728906831,85.34677338315163,4.685160051134894
1050,3150,"[4.21, 9.9, -149.65]",88.3920752325352,86.21664175585262,4.111782474984292
1050,3200,"[4.02, 9.8, -149.25]",88.46044361753732,86.24461594909972,4.059550159334983
1100,50,"[7.35, 8.04, -147.29]",87.14746082923003,86.87941774599224,4.229792652942424
1100,100,"[7.74, 7.94, -146.9]",86.98832499390474,86.91042937360706,4.316626226349095
1100,150,"[10.19, 5.98, -149.25]",86.09733044772932,87.7108805862599,4.526273570487511
1100,200,"[10.09, 5.78, -149.65]",86.14559315431734,87.7931439990492,4.443129574483822
1100,250,"[18.42, -0.59, -155.53]",83.24575708355526,89.78415909451644,6.7577229221160255
1100,300,"[18.52, -0.29, -156.11]",83.234388835981,89.89430496926641,6.76644444205067
1100,350,"[40.96, -16.76, -162.88]",75.95552454039758,84.30127055589354,15.200908517846662
1100,400,"[58.6, -29.6, -157.78]",69.94614407000783,80.02566004811058,22.591961332888033
1100,450,"[61.45, -31.56, -156.51]",68.94930103633575,79.36931270654017,23.815785556730184
1100,500,"[92.51, -53.41, -114.56]",53.79995155143395,70.06325932363805,42.997881717279974
1100,550,"[91.83, -53.02, -113.88]",53.832139901946945,70.07819849568834,42.957530609475604
1100,600,"[89.57, -53.61, -64.19]",43.03661638999735,64.0572110932532,58.41187326855152
1100,650,"[89.87, -53.8, -64.19]",42.98268862747164,64.02730714287526,58.49859957563076
1100,700,"[79.67, -49.69, -32.44]",36.68040051494145,59.98722093767373,70.94049706368
1100,750,"[75.75, -48.22, -21.17]",34.80757980756294,58.488548947048386,76.734302268451
1100,800,"[75.26, -48.31, -20.87]",34.96299480189507,58.260506762822494,76.86431251130588
1100,850,"[71.64, -48.41, -0.88]",34.05285111751928,55.953544979849156,89.41687594375158
1100,900,"[71.54, -48.61, -0.78]",34.198752929033816,55.80625855586863,89.48331193471611
1100,950,"[73.7, -52.63, 19.01]",37.20821078396554,55.33695684217114,78.14517269622772
1100,1000,"[73.89, -53.02, 19.6]",37.41645885825293,55.25608692659746,77.83782598765274
1100,1050,"[80.46, -59.78, 42.53]",42.359239261014075,56.700724268882695,67.00876233287377
1100,1100,"[86.93, -66.05, 65.17]",46.86712085931213,58.70300514356444,59.16595177902086
1100,1150,"[86.83, -66.15, 65.07]",46.900349067653444,58.63169122207906,59.200266540225485
1100,1200,"[88.1, -68.8, 121.72]",57.78485468978104,65.39789864471891,42.562735360192164
1100,1250,"[87.81, -68.5, 120.74]",57.68437551073307,65.35312438516608,42.68779797545783
1100,1300,"[47.14, -42.34, 169.54]",74.90315979095192,76.47138377901956,20.492431883727043
1100,1350,"[27.24, -29.79, 170.32]",81.04705892070024,80.20104994663257,13.333336470685865
1100,1400,"[26.26, -29.11, 171.79]",81.42930754406655,80.49092891208913,12.855363227931546
1100,1450,"[3.43, -15.09, 162.39]",88.7951681382338,84.69224457309522,5.4435491706249515
1100,1500,"[3.23, -14.8, 163.76]",88.87463073483136,84.836855735488,5.285016383725593
1100,1550,"[-5.1, -10.0, 155.72]",88.12802439601057,86.32759859953521,4.123159660030158
1100,1600,"[-5.39, -9.7, 155.72]",88.0214210886201,86.43770516833882,4.076129466593274
1100,1650,"[-8.33, -7.74, 153.08]",86.88923123982477,87.10975602926699,4.2481585083812075
1100,1700,"[-10.29, -6.08, 153.86]",86.17678949530377,87.74209069085464,4.441876723612478
1100,1750,"[-10.29, -6.17, 152.88]",86.15248390812124,87.69409701810694,4.487382229564562
1100,1800,"[-15.68, -1.86, 156.9]",84.29342079022582,89.32417454739452,5.746722639719389
1100,1850,"[-15.68, -1.67, 157.49]",84.31457953616795,89.39545572159811,5.717682215022309
1100,1900,"[-30.87, 9.7, 164.93]",79.41646779163489,86.691473785338,11.100041664457144
1100,1950,"[-30.67, 9.41, 164.74]",79.47063721310069,86.78590679660519,11.019734045032985
1100,2000,"[-51.16, 24.89, 164.05]",72.86402820391993,81.75846969718826,19.126810545269738
1100,2050,"[-83.79, 48.31, 139.36]",60.39981834694482,73.45376744741488,34.761604091686
1100,2100,"[-84.38, 48.71, 138.96]",60.185597300837514,73.32073799746883,35.03578106322059
1100,2150,"[-94.37, 56.64, 82.12]",46.59000979664273,65.64056362894,53.27262534171242
1100,2200,"[-94.77, 57.04, 82.22]",46.55771470315932,65.55209893832378,53.37576486071758
